Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
"(Project Staff) Consultant, Data Engineer",$92K-$144K (Glassdoor est.),3.6,"Nationwide
3.6","Scottsdale, AZ",10000+ employees,,$10+ billion (USD)
Automotive Data Analyst,$92K-$144K (Glassdoor est.),3.1,"O'Reilly Automotive
3.1","Phoenix, AZ",10000+ employees,Retail,$5 to $10 billion (USD)
SRO BI & Analytics Manager,$92K-$144K (Glassdoor est.),3.9,"PayPal
3.9","Chandler, AZ",10000+ employees,Information Technology,$10+ billion (USD)
Revenue Management and Strategic Analytics Manager,$92K-$144K (Glassdoor est.),3.2,"PetSmart
3.2","Phoenix, AZ",10000+ employees,Retail,$5 to $10 billion (USD)
Data Engineer,$92K-$144K (Glassdoor est.),3.3,"Swift Refrigerated
3.3","Phoenix, AZ",10000+ employees,Transportation & Logistics,$2 to $5 billion (USD)
Analytic Consultant 5 Quality Control Lead,$92K-$144K (Glassdoor est.),3.6,"Wells Fargo
3.6","Chandler, AZ",10000+ employees,Finance,$10+ billion (USD)
Accounting Data Analyst,$92K-$144K (Glassdoor est.),4.5,"Mastech Digital
4.5","Phoenix, AZ",1001 to 5000 employees,Business Services,$100 to $500 million (USD)
Medical Lab Scientist II,$92K-$144K (Glassdoor est.),3.9,"Phoenix Children's Hospital
3.9","Phoenix, AZ",1001 to 5000 employees,Health Care,$500 million to $1 billion (USD)
Project Scientist,$92K-$144K (Glassdoor est.),3.5,"Terracon
3.5","Tempe, AZ",1001 to 5000 employees,Business Services,$500 million to $1 billion (USD)
Business Intelligence Analyst,$92K-$144K (Glassdoor est.),2.5,"TriWest Healthcare Alliance
2.5","Phoenix, AZ",1001 to 5000 employees,Health Care,$50 to $100 million (USD)
GENERAL PHYSICAL SCIENTIST,$92K-$144K (Glassdoor est.),3.8,"U.S. Navy
3.8","Phoenix, AZ",1001 to 5000 employees,Government,$2 to $5 billion (USD)
Senior Big Data Engineer,$92K-$144K (Glassdoor est.),4.8,"Zoom Video Communications
4.8","Phoenix, AZ",1001 to 5000 employees,Information Technology,Unknown / Non-Applicable
Data Engineer,$92K-$144K (Glassdoor est.),3.2,"Blue Rose Technologies LLC
3.2","Tempe, AZ",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Data Scientist (Top Secret/SCI with Polygraph),$92K-$144K (Glassdoor est.),3.5,"Buchanan & Edwards
3.5","DC Ranch, AZ",201 to 500 employees,Information Technology,$50 to $100 million (USD)
Research Scientist I-III,$92K-$144K (Glassdoor est.),2.9,"Caris Life Sciences
2.9","Phoenix, AZ",201 to 500 employees,Business Services,$50 to $100 million (USD)
Big Data Engineer with Cloudera,$92K-$144K (Glassdoor est.),5,"Nucleusteq
5.0","Phoenix, AZ",201 to 500 employees,Information Technology,$10 to $25 million (USD)
Business Intelligence Analyst,$92K-$144K (Glassdoor est.),4,"StateServ
4.0","Mesa, AZ",201 to 500 employees,Health Care,$100 to $500 million (USD)
Data Engineer,$92K-$144K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Phoenix, AZ",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Data Analyst,$92K-$144K (Glassdoor est.),4.3,"Net Orbit Inc
4.3","Tempe, AZ",501 to 1000 employees,,Unknown / Non-Applicable
Data Scientist SR,$92K-$144K (Glassdoor est.),4.2,"The Buffalo Group
4.2","DC Ranch, AZ",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Data Engineer,$92K-$144K (Glassdoor est.),4.3,"22nd Century Staffing
4.3","Phoenix, AZ",51 to 200 employees,Business Services,$5 to $10 million (USD)
Managing Consultant - Data Science,$92K-$144K (Glassdoor est.),4.3,"BlueOptima
4.3","Phoenix, AZ",51 to 200 employees,Information Technology,Unknown / Non-Applicable
"Head of Data Science, Americas",$92K-$144K (Glassdoor est.),4.3,"BlueOptima
4.3","Phoenix, AZ",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,$92K-$144K (Glassdoor est.),4.5,"Maine Pointe
4.5","Phoenix, AZ",51 to 200 employees,Business Services,$50 to $100 million (USD)
Business Intelligence Analyst,$92K-$144K (Glassdoor est.),2.8,"Scientific Technologies Corporation
2.8","Phoenix, AZ",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Senior Big Data Engineer,$93K-$103K (Glassdoor est.),3.5,"HMS
3.5","Irving, TX",1 to 50 employees,,Unknown / Non-Applicable
