Producer,Category,Product,Calories (100g),Lipides (Fat),Saturés ,Glucides (Carbs),Sucre,Protein,Sel,Portion Size
Saida,BISCUITS,BREAK CLASSIC VANILLE,"	382,6Kcal","	17,7g",-,	52g,-,"3,9g",-,-
Saida,BISCUITS,PALETS AU BEURRE NATURE,	395 Kcal,"13,61 g","	10,32g","	59,64","	19,93 g","6,83 g","0,451 g",8g
Saida,BISCUITS,BREAKCLASSIC CARAMEL,"	395,18Kcal","	15,75g",-,"	58,17g",-,"	5,20g",-,-
Saida,BISCUITS,PRINCE MINI GÂTEAU,	400Kcal,"	17,6g",-,"	56,4g",-,"	4,1g",-,-
Saida,BISCUITS,TUC CLASSIC,"	404,2Kcal","	16,5g",-,"	56,8g",-,"7,2g",-,-
Saida,BISCUITS,TUC POCKET,"	405,3Kcal","	16,5g",-,"57,0g",-,"	7,2g",-,-
Saida,BISCUITS,BREAK BAR CARAMEL SAÏDA,	415 Kcal,"17,62 g","13,14 g","59,47 g","	41,97 g","4,79 g","0,218 g",32g
Saida,CHOCOLAT,SAÏD JUNIOR,	417Kcal,"	22,5g",-,"	48,4g",-,"3,87g",-,-
Saida,BISCUITS,PALETS AU BEURRE ET PÉPITES DE CHOCOLAT,"	423,1 Kcal","17,52 g","	8,44g","58,06g","22,48 g","	6,76 g","0,371 g",8g
Saida,BISCUITS,AUX PÉPITES DE CHOCOLAT,"	423,1Kcal","17,52g",-,"58,06g",-,"	6,76g",-,-
Saida,CHOCOLAT,SAÏD JUNIOR AUX LAIT ET AUX DRAGÉES,	423Kcal,21.46g,-,"52,52g",-,"	3,66g",-,-
Saida,BISCUITS,MAJOR CRÈME GOÛT LAIT,"	425,2Kcal","	18,4g",-,"60,1g",-,4.8g,-,-
Saida,BISCUITS,TARTELETTES SAÏDA ABRICOT,"	427,6Kcal",	17g,-,"60,7g",-,"4,8g",-,-
Saida,BISCUITS,BISCUITS TRADITION FENOUIL ,	429Kcal,"20,4g",-,"64,6g",-,"	6,8g",-,-
Saida,BISCUITS,STAR CÉRÉALES ET LAIT,	433Kcal,"16,5g",-,"	65,7g",-,"	5,6g",-,-
Saida,BISCUITS,STAR CÉRÉALES ET LAIT 6 PIÈCES,	433Kcal,"16,5g",-,"	65,7g",-,"	5,6g",-,-
Saida,BISCUITS,MAJOR CHOCOLAT,	442Kcal,"17,7g",-,"69,1g",-,"	5,8g",-,-
Saida,BISCUITS,MINI TUC ,	442Kcal,"22,1g",-,"	54,2g",-,"	6,8g",-,-
Saida,CHOCOLAT,GOURMAND CHOCOLAT AU LAIT FOURRÉ À LA CRÈME BRÛLÉE,"	443,54Kcal","25,95g",-,"50,12g",-,"	8,68g",-,-
Saida,BISCUITS,SABLITO ABRICOT,"	443,9Kcal","18,5g",-,"	65,1g",-,"	4,3g",-,-
Saida,BISCUITS,SABLITO FIGUE,"	443,9Kcal","18,5g",-,"	65,1g",-,"	4,3g",-,-
Saida,BISCUITS,SABLITO FRAISE,"	443,9Kcal","18,5g",-,"	65,1g",-,"	4,3g",-,-
Saida,BISCUITS,MAJOR VANILLE,	448Kcal,"	18,6g",-,"67,6g",-,5g,-,-
Saida,BISCUITS,MAJOR BANANE,	448Kcal,"	18,6g",-,"67,6g",-,5g,-,-
Saida,BISCUITS,MAJOR FRAISE,	448Kcal,"	18,6g",-,"67,6g",-,5g,-,-
Saida,CHOCOLAT,KROSS ,	448Kcal,"	15,5g",-,"	72,3g",-,"	4,9g",-,-
Saida,CHOCOLAT,MAESTRO CLUB CARAMEL,	460Kcal,-,-,"	51,96g",-,"	6,78g",-,-
Saida,CHOCOLAT,DUO,	467Kcal,	19g,-,	67g,-,"	5,76g",-,-
Saida,BISCUITS,TARTELETTES SAÏDA CHOCOLAT,	470Kcal,"	27,4g",-,"65,5g",-,"5,6g",-,-
Saida,BISCUITS,TUNGO,	470Kcal,"22,1g",-,	62g,-,"	5,9g",-,-
Saida,CHOCOLAT,DCLIC,	477Kcal,	20g,-,"	68,3g",-,"	5,88g",-,-
Saida,BISCUITS,GAUFRETTES SAÏDA CHOCOLAT,	483Kcal,"	28,2g",-,"	62,9g",-,"	5,3g",-,-
Saida,BISCUITS,SABLITO CHOCOLAT,	484Kcal,"	24,5g",-,"	60,8g",-,"5,3g",-,-
Saida,BISCUITS,SABLITO CAPPUCCINO,	484Kcal,"	24,5g",-,"	60,8g",-,"5,3g",-,-
