Producer,Category,Product,Calories (100g),Lipides (Fat),Saturés ,Glucides (Carbs),Sucre,Protein,Sel,Portion Size
Délice,DAIRY PRODUCTS,DANETTE FLAN,104.6Kcal,2g,-,19.6g,12g,2.1g,-,-
Délice,DAIRY PRODUCTS,DANETTE VANILLA,125.9Kcal,5.5g,-,16.1g,9.2g,2.8g,-,-
Délice,DAIRY PRODUCTS,DANETTE HAZELNUT,104.9Kcal,2.9g,-,15.4g,8.7g,3.5g,-,-
Délice,DAIRY PRODUCTS,DANETTE CHOCOLATE,114.9Kcal,3.1g,-,19g,13.5g,2.8g,-,-
Délice,DAIRY PRODUCTS,DÉLICE TO DRINK - VARIEGATED / STRAWBERRY,76.7Kcal,1g,-,15.5g,9.4g,1.4g,-,-
Délice,DAIRY PRODUCTS,DÉLICE MAMZOUJ,110Kcal,3.5g,-,16.8g,10.1g,2.9g,-,-
Délice,DAIRY PRODUCTS,DÉLICE AUX FRUITS,107Kcal,3.1g,-,17g,9.9g,2.5g,-,-
Délice,DAIRY PRODUCTS,DÉLICE CREAMY,111.78Kcal,3.6g,-,17.1g,9.1g,2.7g,-,-
Délice,DAIRY PRODUCTS,DÉLICE FERME - NATURE SET YOGHURT,68.1Kcal,3.6g,-,5.4g,0g,3.2g,-,-
Délice,DAIRY PRODUCTS,DÉLICE FERME - FLAVOURED SET YOGHURT,96.84Kcal,2.9g,-,14.6g,10.2g,3.2g,-,-
